date,open,high,low,close,volume
2024-07-15,407.41438116146935,413.9820086056492,405.7724672684323,411.27508544921875,16876907
2024-07-16,411.31947062570373,414.24829551887325,409.5000691316833,413.1832580566406,13497253
2024-07-18,410.9201136086524,417.9314884137471,410.60946830322706,417.3545837402344,21907158
2024-07-19,418.0202585325393,425.47540879743394,416.6002178558093,421.1709289550781,25939326
2024-07-22,421.2152745186909,425.51972582046176,413.4495078011498,414.0707702636719,18762384
2024-07-23,414.07078883419376,441.4506680930601,413.93765914854197,436.8355712890625,56125835
2024-07-24,440.20813578403585,453.210261927794,435.4599375014016,438.47747802734375,43693692
2024-07-25,434.8830418921205,440.20814495659073,430.13484351054876,434.83868408203125,18567567
2024-07-26,438.4774780631656,449.43830114712074,432.57549856626446,445.71075439453125,21534703
2024-07-29,448.6395936886127,449.26085622757836,438.4775196143826,440.2525634765625,12978187
2024-07-30,440.47441788326415,441.8056866583547,433.6849161895334,434.7943115234375,13891052
2024-07-31,437.057492794329,441.9388210644049,435.3268349298526,439.63128662109375,11982586
2024-08-01,440.1637284983504,440.8737628182259,435.7261476069811,438.1668395996094,12114803
2024-08-02,430.26800111466224,443.2701002450131,430.26800111466224,434.0843200683594,22141163
2024-08-05,426.0523205208682,436.5693983234633,425.60854546679894,431.3330383300781,25022076
2024-08-06,431.5548877403152,436.3918583538408,429.602356369564,431.5992736816406,14251363
2024-08-07,434.8830345877464,439.8531344481693,433.19676276137596,437.2349548339844,11320399
2024-08-08,438.4331345718136,441.98319394772153,437.1018376938733,439.0987548828125,21349889
2024-08-09,441.98320282176905,441.98320282176905,437.6343652317819,440.1194152832031,9556181
2024-08-12,436.65810276874254,443.7582217148487,436.65810276874254,438.96563720703125,9425644
2024-08-13,440.1637430579755,441.8500429794937,433.3298840108808,434.8830261230469,8056478
2024-08-14,436.61369785563306,442.87070869735584,434.7942963223527,436.8355712890625,9609981
2024-08-16,438.87691939201966,447.4858232645307,437.2350051859108,446.11016845703125,13643352
2024-08-19,447.97390175378985,452.01209380136623,443.40319097362044,445.04510498046875,10591508
2024-08-20,444.645738066525,446.7757849749655,441.7169411474016,442.6932067871094,6888634
2024-08-21,443.75819937308097,451.7458679452625,442.91506345507685,448.5508117675781,8801221
2024-08-22,450.72521402910553,451.3020905746001,445.0451079369473,447.7964172363281,8686423
